step,value
0.0,-98.2293509400339
1.0,-80.06030469767465
2.0,-80.06030469767465
3.0,-80.06030469767465
4.0,-80.06030469767465
5.0,-80.06030469767465
6.0,-80.06030469767465
7.0,-72.11648737226409
8.0,-72.11648737226409
9.0,-72.11648737226409
10.0,-68.2732757732539
11.0,-49.56160498329756
12.0,-49.56160498329756
13.0,-49.56160498329756
14.0,-32.878412503090225
15.0,-32.878412503090225
16.0,-32.878412503090225
17.0,7.715469591414649
18.0,7.715469591414649
19.0,7.715469591414649
20.0,7.715469591414649
21.0,7.715469591414649
22.0,7.715469591414649
23.0,7.715469591414649
24.0,7.715469591414649
25.0,7.715469591414649
26.0,7.715469591414649
27.0,7.715469591414649
28.0,7.715469591414649
29.0,7.715469591414649
30.0,7.715469591414649
31.0,7.715469591414649
32.0,7.715469591414649
33.0,7.715469591414649
34.0,7.715469591414649
35.0,7.715469591414649
36.0,7.715469591414649
37.0,7.715469591414649
38.0,7.715469591414649
39.0,7.715469591414649
40.0,7.715469591414649
41.0,7.715469591414649
42.0,7.715469591414649
43.0,7.715469591414649
44.0,7.715469591414649
45.0,7.715469591414649
46.0,7.715469591414649
47.0,7.715469591414649
48.0,7.715469591414649
49.0,7.715469591414649
50.0,7.715469591414649
51.0,7.715469591414649
52.0,7.715469591414649
53.0,7.715469591414649
54.0,7.715469591414649
55.0,7.715469591414649
56.0,7.715469591414649
57.0,7.715469591414649
58.0,7.715469591414649
59.0,7.715469591414649
60.0,7.715469591414649
61.0,7.715469591414649
62.0,7.715469591414649
63.0,7.715469591414649
64.0,7.715469591414649
65.0,7.715469591414649
66.0,7.715469591414649
67.0,7.715469591414649
68.0,7.715469591414649
69.0,7.715469591414649
70.0,7.715469591414649
71.0,7.715469591414649
72.0,7.715469591414649
73.0,7.715469591414649
74.0,7.715469591414649
75.0,7.715469591414649
76.0,7.715469591414649
77.0,7.715469591414649
78.0,7.715469591414649
79.0,7.715469591414649
80.0,7.715469591414649
81.0,7.715469591414649
82.0,7.715469591414649
83.0,7.715469591414649
84.0,7.715469591414649
85.0,7.715469591414649
86.0,7.715469591414649
87.0,7.715469591414649
88.0,7.715469591414649
89.0,7.715469591414649
90.0,7.715469591414649
91.0,7.715469591414649
92.0,7.715469591414649
93.0,7.715469591414649
94.0,7.715469591414649
95.0,7.715469591414649
96.0,7.715469591414649
97.0,7.715469591414649
98.0,7.715469591414649
99.0,7.715469591414649
