step,value
0.0,1.0982145071029663
1.0,1.0842548608779907
2.0,1.075934648513794
3.0,1.0723230838775635
4.0,1.0562915802001953
5.0,1.0464376211166382
6.0,1.0367697477340698
7.0,1.029510736465454
8.0,1.013893723487854
9.0,1.0068225860595703
10.0,0.9965565800666809
11.0,0.984911322593689
12.0,0.9716760516166687
13.0,0.9602000713348389
14.0,0.9489226937294006
15.0,0.9301003813743591
16.0,0.9155341982841492
17.0,0.8960516452789307
18.0,0.8801517486572266
19.0,0.856788694858551
20.0,0.816069483757019
21.0,0.7832680940628052
22.0,0.7449507117271423
23.0,0.7064343690872192
24.0,0.6580141186714172
25.0,0.606833815574646
26.0,0.5377141237258911
27.0,0.47558334469795227
28.0,0.4062684178352356
29.0,0.35509932041168213
30.0,0.3380852937698364
31.0,0.302547425031662
32.0,0.24121476709842682
33.0,0.19603757560253143
34.0,0.15670305490493774
35.0,0.13116411864757538
36.0,0.036859262734651566
37.0,0.015438416972756386
38.0,-0.03932248800992966
39.0,-0.03994948789477348
