step,value
0.0,0.25434407591819763
1.0,0.24015265703201294
2.0,0.21620593965053558
3.0,0.18971183896064758
4.0,0.1850128173828125
5.0,0.1837644726037979
6.0,0.16986890137195587
7.0,0.10229358077049255
8.0,0.13742244243621826
9.0,0.07988524436950684
10.0,0.07655102014541626
11.0,0.057092808187007904
12.0,0.0646904706954956
13.0,0.022703062742948532
14.0,-0.023447372019290924
15.0,-0.04395437240600586
16.0,-0.06905614584684372
17.0,-0.08555187284946442
18.0,-0.10949322581291199
19.0,-0.13834647834300995
